Rank,Branch,last_role_title,Target_Next_Role,Target_Next_Role_Raw
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt SS Prometheus / Post 2
Lieutenant,Tactical Systems,Div Officer,Asst Manager,Asst Manager Systems Maintenance Group Sigma
Lieutenant Commander,Tactical Systems,Asst Manager,Head of Deptt,Head of Deptt SS Pioneer / Post 4
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt ISS Daedalus / Post 4
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Science Academy
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt CS Titan / Post 3
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Systems Design College
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt RS Gateway / Post 5
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Fleet Technical Training Center
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt CS Meridian / Post 2
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Enlisted Technical School
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt RS Titan / Post 5
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Systems Design College
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt RS Gateway / Post 6
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt CS Atlantis / Post 7
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Warp Technology Institute
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt RS Atlantis / Post 3
Lieutenant,Tactical Systems,Staff Officer SFHQ - Strategic Planning,Staff Officer,Staff Officer Field HQ - Tactical Systems
Lieutenant Commander,Tactical Systems,Staff Officer,Dy Manager,Dy Manager Dockyard Complex One / Post 4
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Systems Design College
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt RS Genesis / Post 2
Lieutenant,Tactical Systems,Staff Officer SFHQ -,Asst Manager Planetary Repair Depot One,Asst Manager Planetary Repair Depot One
Lieutenant Commander,Tactical Systems,Asst Manager Planetary Repair Depot One,Dy Manager,Dy Manager Starbase Support Command Gamma / Post 5
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Hull School
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt RS Meridian / Post 5
Lieutenant,Engineering,Div Officer,Asst Manager Hull Repair Yard Beta,Asst Manager Hull Repair Yard Beta
Lieutenant Commander,Engineering,Asst Manager Hull Repair Yard Beta,Head of Deptt,Head of Deptt USS Defiant / Post 4
Lieutenant,Tactical Systems,Asst Manager,Instructor -,Instructor - Starfleet Science Academy
Lieutenant Commander,Tactical Systems,Instructor -,Dy Manager Planetary Repair Depot One,Dy Manager Planetary Repair Depot One / Post 3
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt CS Atlantis / Post 8
Lieutenant,Engineering,Div Officer,Dy Manager,Dy Manager Starbase Support Command Gamma
Lieutenant Commander,Engineering,Dy Manager,Head of Deptt,Head of Deptt SS Pioneer / Post 5
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Hull School
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt USS Horizon / Post 4
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Warp Technology Institute
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt USS Aegis / Post 3
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Engineering Academy
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt RS Pioneer / Post 3
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Systems Design College
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt SS Horizon / Post 3
Lieutenant,Tactical Systems,Asst Manager,Asst Manager,Asst Manager Dockyard Complex Two
Lieutenant Commander,Tactical Systems,Asst Manager,Dy Manager Hull Repair Yard Alpha,Dy Manager Hull Repair Yard Alpha / Post 7
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Systems Design College
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt USS Resolute / Post 3
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Fleet Technical Training Center
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt CS Nova / Post 3
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Warp Technology Institute
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt SS Daedalus / Post 5
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Hull School
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt RS Pioneer / Post 4
Lieutenant,Tactical Systems,Div Officer,Asst Manager,Asst Manager Starbase Support Command Delta
Lieutenant Commander,Tactical Systems,Asst Manager,Head of Deptt,Head of Deptt ISS Pioneer / Post 1
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt ISS Genesis / Post 5
Lieutenant,Engineering,Div Officer,Staff Officer SFHQ - Capability Planning,Staff Officer SFHQ - Capability Planning
Lieutenant Commander,Engineering,Staff Officer SFHQ - Capability Planning,Head of Deptt,Head of Deptt ISS Atlantis / Post 3
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Enlisted Technical School
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt USS Hermes / Post 2
Lieutenant,Engineering,Div Officer,Dy Manager,Dy Manager Fleet Maintenance Wing Beta
Lieutenant Commander,Engineering,Dy Manager,Head of Deptt,Head of Deptt RS Meridian
Commander,Engineering,Head of Deptt,Dy Director R&D - Stealth Systems,Dy Director R&D - Stealth Systems / Post 2
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt CS Daedalus
Commander,Engineering,Head of Deptt,Dy Director SFHQ -,Dy Director SFHQ - Fleet Readiness / Post 3
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt RS Pioneer
Commander,Engineering,Head of Deptt,Dy Director R&D - Energy Systems,Dy Director R&D - Energy Systems / Post 2
Lieutenant,Tactical Systems,Div Officer,Asst Manager,Asst Manager Starbase Support Command Gamma
Lieutenant Commander,Tactical Systems,Asst Manager,Head of Deptt,Head of Deptt SS Genesis
Commander,Tactical Systems,Head of Deptt,Manager Hull Repair Yard Beta,Manager Hull Repair Yard Beta / Post 4
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Systems Design College
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt USS Orion
Commander,Tactical Systems,Head of Deptt,Dy Director R&D - Energy Systems,Dy Director R&D - Energy Systems / Post 3
Lieutenant,Tactical Systems,Div Officer,Asst Manager Planetary Repair Depot Two,Asst Manager Planetary Repair Depot Two
Lieutenant Commander,Tactical Systems,Asst Manager Planetary Repair Depot Two,Head of Deptt,Head of Deptt ISS Atlantis
Commander,Tactical Systems,Head of Deptt,Manager,Manager Dockyard Complex Two / Post 4
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Fleet Technical Training Center
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt SS Horizon
Commander,Engineering,Head of Deptt,Manager,Manager Dockyard Complex Two / Post 5
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Fleet Technical Training Center
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt SS Prometheus
Commander,Engineering,Head of Deptt,Manager Planetary Repair Depot Two,Manager Planetary Repair Depot Two / Post 5
Lieutenant,Tactical Systems,Div Officer,Staff Officer SFHQ - Technical Policy,Staff Officer SFHQ - Technical Policy
Lieutenant Commander,Tactical Systems,Staff Officer SFHQ - Technical Policy,Head of Deptt,Head of Deptt CS Titan
Commander,Tactical Systems,Head of Deptt,Manager Hull Repair Yard Alpha,Manager Hull Repair Yard Alpha / Post 4
Lieutenant,Engineering,Div Officer,Dy Manager,Dy Manager Fleet Maintenance Wing Beta
Lieutenant Commander,Engineering,Dy Manager,Head of Deptt,Head of Deptt CS Gateway
Commander,Engineering,Head of Deptt,Staff Officer,Staff Officer Field HQ - Engineering / Post 7
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Science Academy
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt SS Titan
Commander,Engineering,Head of Deptt,Staff Officer,Staff Officer Field HQ - Engineering / Post 8
Lieutenant,Tactical Systems,Div Officer,Asst Manager,Asst Manager Systems Maintenance Group Prime
Lieutenant Commander,Tactical Systems,Asst Manager,Head of Deptt,Head of Deptt USS Tempest
Commander,Tactical Systems,Head of Deptt,Manager,Manager Starbase Support Command Gamma / Post 5
Lieutenant,Engineering,Div Officer,Staff Officer,Staff Officer Field HQ - Engineering
Lieutenant Commander,Engineering,Staff Officer,Head of Deptt,Head of Deptt RS Pioneer
Commander,Engineering,Head of Deptt,Dy Director SFHQ - Resource Management,Dy Director SFHQ - Resource Management / Post 2
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Enlisted Technical School
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt CS Titan
Commander,Tactical Systems,Head of Deptt,Manager,Manager Systems Maintenance Group Prime / Post 4
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Warp Technology Institute
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt RS Atlantis
Commander,Tactical Systems,Head of Deptt,Staff Officer,Staff Officer Field HQ - Tactical Systems / Post 13
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt ISS Atlantis
Commander,Tactical Systems,Head of Deptt,Manager Hull Repair Yard Alpha,Manager Hull Repair Yard Alpha / Post 5
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt ISS Prometheus
Commander,Engineering,Head of Deptt,Dy Director R&D - Deflector Shields,Dy Director R&D - Deflector Shields / Post 3
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Warp Technology Institute
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt RS Nova
Commander,Engineering,Head of Deptt,Manager,Manager Dockyard Complex Two / Post 6
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Science Academy
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt USS Defiant
Commander,Engineering,Head of Deptt,Manager,Manager Starbase Support Command Gamma / Post 6
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Enlisted Technical School
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt RS Daedalus
Commander,Engineering,Head of Deptt,Staff Officer,Staff Officer Field HQ - Engineering / Post 9
Lieutenant,Engineering,Div Officer,Asst Manager,Asst Manager Dockyard Complex One
Lieutenant Commander,Engineering,Asst Manager,Head of Deptt,Head of Deptt SS Gateway
Commander,Engineering,Head of Deptt,Manager Planetary Repair Depot Two,Manager Planetary Repair Depot Two / Post 6
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Fleet Technical Training Center
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt CS Meridian
Commander,Tactical Systems,Head of Deptt,Staff Officer,Staff Officer Field HQ - Tactical Systems / Post 14
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Science Academy
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt SS Prometheus
Commander,Tactical Systems,Head of Deptt,Dy Director R&D -,Dy Director R&D - Warp Field Dynamics / Post 2
Lieutenant,Hull Systems,Staff Officer SFHQ -,Staff Officer,Staff Officer Field HQ - Hull Systems
Lieutenant Commander,Hull Systems,Staff Officer,Staff Officer,Staff Officer Field HQ - Hull Systems
Commander,Hull Systems,Staff Officer,Manager,Manager Starbase Support Command Delta / Post 4
Lieutenant,Tactical Systems,Div Officer,Dy Manager,Dy Manager Fleet Maintenance Wing Alpha
Lieutenant Commander,Tactical Systems,Dy Manager,Head of Deptt,Head of Deptt ISS Genesis
Commander,Tactical Systems,Head of Deptt,Manager,Manager Fleet Maintenance Wing Alpha / Post 4
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Fleet Technical Training Center
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt CS Titan
Commander,Engineering,Head of Deptt,Manager,Manager Systems Maintenance Group Prime / Post 5
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt USS Resolute
Commander,Engineering,Head of Deptt,Manager,Manager Systems Maintenance Group Prime / Post 6
Lieutenant,Engineering,Div Officer,Dy Manager,Dy Manager Fleet Maintenance Wing Alpha
Lieutenant Commander,Engineering,Dy Manager,Head of Deptt,Head of Deptt CS Horizon
Commander,Engineering,Head of Deptt,Manager Hull Repair Yard Beta,Manager Hull Repair Yard Beta / Post 5
Lieutenant,Tactical Systems,Div Officer,Dy Manager Planetary Repair Depot One,Dy Manager Planetary Repair Depot One
Lieutenant Commander,Tactical Systems,Dy Manager Planetary Repair Depot One,Head of Deptt,Head of Deptt SS Atlantis
Commander,Tactical Systems,Head of Deptt,Manager Planetary Repair Depot One,Manager Planetary Repair Depot One / Post 3
Lieutenant,Hull Systems,Staff Officer R&D - Hull Integrity,Asst Manager Hull Repair Yard Alpha,Asst Manager Hull Repair Yard Alpha
Lieutenant Commander,Hull Systems,Asst Manager Hull Repair Yard Alpha,Dy Manager Planetary Repair Depot Two,Dy Manager Planetary Repair Depot Two
Commander,Hull Systems,Dy Manager Planetary Repair Depot Two,Dy Director SFHQ - Systems Integration,Dy Director SFHQ - Systems Integration / Post 3
Lieutenant,Tactical Systems,Div Officer,Asst Manager,Asst Manager Starbase Support Command Delta
Lieutenant Commander,Tactical Systems,Asst Manager,Head of Deptt,Head of Deptt ISS Atlantis
Commander,Tactical Systems,Head of Deptt,Dy Director SFHQ - Doctrine and Development,Dy Director SFHQ - Doctrine and Development / Post 2
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Enlisted Technical School
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt RS Titan
Commander,Engineering,Head of Deptt,Training Officer -,Training Officer - Starfleet Engineering Academy / Post 2
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Science Academy
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt RS Genesis
Commander,Engineering,Head of Deptt,Training Officer -,Training Officer - Starfleet Science Academy / Post 2
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Warp Technology Institute
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt CS Titan
Commander,Tactical Systems,Head of Deptt,Dy Director SFHQ - Doctrine and Development,Dy Director SFHQ - Doctrine and Development / Post 3
Lieutenant,Engineering,Asst Manager Planetary Repair Depot One,Dy Manager,Dy Manager Fleet Maintenance Wing Alpha
Lieutenant Commander,Engineering,Dy Manager,Dy Manager Hull Repair Yard Beta,Dy Manager Hull Repair Yard Beta / Post 6
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Hull School
